IRI_Initial,TC,SPALL,PATCH,FAULT,AGE,FI,P200,IRI
0.94,0,0,17.19999981,0,1,52,17.10000038,1.018
0.94,0,0,17.19999981,0,1,52,17.10000038,1.015
0.84,0,0,0,0,1,52,16.20000076,0.892
1.17,8.51,14.89,100.2999992,0,1,52,16.5,1.222
1.55,0,9.09,0,3.3,0,144,21.60000038,1.547
0.94,0,91.43,15.10000038,0,0,144,17.10000038,1.003
0.84,0,0,0,0,1,52,16.20000076,0.913
1.49,0,0,0,30.6,13,120,9.800000191,1.786
1.17,16.67,2.08,102.9000015,38.4,13,120,16.5,1.403
2.02,0,18.18,0,13.2,20,574,3,2.093
2.02,0,33.33,0,13.2,19,551,3,2.138
1.77,0,0,0,0,12,5,48.59999847,1.889
1.14,0,0,0,3.4,12,5,9,1.565
1.14,0,0,0,3.4,12,5,9,1.581
1.86,21.74,4.35,0,32.2,27,11,28.5,2.111
1.17,16.67,2.08,102.9000015,38.4,13,120,16.5,1.373
1.17,16.67,2.08,102.9000015,38.4,13,120,16.5,1.4
1.55,0,5.88,0,13.6,13,120,21.60000038,1.594
0.82,0,45.45,0,0,7,129,11.89999962,0.885
2.93,0,8.57,65.39999962,108.5,25,1154,6.099999905,3.403
2.75,3.33,40,0,123,28,1215,33.40000153,2.795
2.75,3.33,40,0,123,28,1215,33.40000153,2.864
2.75,3.33,40,0,123,28,1215,33.40000153,2.857
2.93,0,8.57,65.39999962,108.5,25,1154,6.099999905,3.321
0.82,0,11.76,0,3.4,9,120,11.89999962,0.862
1.17,14.58,2.08,109,19.2,9,120,16.5,1.479
1.49,0,0,0,10.2,9,120,9.800000191,1.796
1.2,0,0,0,10.2,9,120,32,1.514
2.75,20,63.33,0,153,30,1012,33.40000153,3.608
1.29,2.94,0,0,6.8,8,16,12,1.591
1.29,2.94,0,0,6.8,8,16,12,1.599
1.77,0,0,0,0,8,16,48.59999847,1.799
1.27,0,0,0,6.8,11,236,76.90000153,1.375
1.27,0,0,0,6.8,11,236,76.90000153,1.463
0.84,0,0,0,0,8,144,16.20000076,0.878
0.84,0,0,0,0,8,144,16.20000076,0.906
0.94,0,5.71,15.39999962,0,8,144,17.10000038,1.112
1.2,3.03,0,0,6.6,8,144,32,1.268
1.2,0,0,0,10.2,9,120,32,1.486
1.2,0,0,0,10.2,9,120,32,1.509
1.86,21.74,4.35,0,32.2,27,11,28.5,2.093
1.86,21.74,4.35,0,32.2,27,11,28.5,2.042
1.55,0,5.88,0,13.6,13,120,21.60000038,1.639
1.55,0,5.88,0,13.6,13,120,21.60000038,1.608
2.02,0,33.33,0,13.2,19,551,3,2.18
2.02,0,33.33,0,13.2,19,551,3,2.028
1.2,0,0,0,6.6,7,129,32,1.384
3.19,0,70.97,3.600000083,3.1,19,1375,3.599999905,3.231
3.19,0,70.97,3.600000083,3.1,19,1375,3.599999905,3.223
2.75,3.33,40,0,123,28,1215,33.40000153,2.832
0.94,0,14.29,15.39999962,0,7,129,17.10000038,1.087
1.49,0,0,0,6.8,8,144,9.800000191,1.522
2.02,0,9.09,1.100000024,26.4,21,430,3,2.113
0.84,0,0,0,0,8,144,16.20000076,0.892
1.2,3.03,0,0,6.6,8,144,32,1.271
1.55,0,5.88,0,6.8,8,144,21.60000038,1.649
1.2,3.03,0,0,6.6,8,144,32,1.246
0.94,0,5.71,15.39999962,0,8,144,17.10000038,1.093
0.84,0,0,0,6.8,13,120,16.20000076,0.871
0.94,0,13.89,15.5,7.2,13,120,17.10000038,1.163
0.94,0,13.89,15.5,7.2,13,120,17.10000038,1.145
0.94,0,13.89,15.5,7.2,13,120,17.10000038,1.143
1.2,0,5.88,0,27.2,13,120,32,1.69
1.2,0,5.88,0,27.2,13,120,32,1.671
1.2,0,5.88,0,27.2,13,120,32,1.682
1.2,0,5.88,0,27.2,13,120,32,1.683
1.77,0,0,0,0,12,5,48.59999847,1.888
1.77,0,0,0,20.4,9,32,48.59999847,1.881
1.2,0,3.03,0,0,9,32,66.40000153,1.188
1.14,0,0,0,3.4,12,5,9,1.614
0.9,5.88,0,0,71.4,6,321,68.09999847,1.943
2.93,2.94,26.47,7.900000006,115.6,19,1062,6.099999905,2.952
1.4,0,8.82,0,0,6,64,61.79999924,1.53
1.86,8.7,4.35,0,25.3,20,73,28.5,1.899
1.24,0,2.94,0.5,13.6,6,64,56.59999847,1.383
1.14,0,5.88,0,13.6,6,64,9,1.347
2.02,0,18.18,0,13.2,20,574,3,2.02
2.02,0,18.18,0,13.2,20,574,3,2.071
1.77,0,0,0,20.4,9,32,48.59999847,1.936
1.81,0,0,0,6.6,9,32,70.69999695,2.147
1.14,0,2.94,0,27.2,9,32,9,1.581
1.69,0,0,0,10.2,9,32,43,1.854
1.77,0,0,0,20.4,9,32,48.59999847,1.938
1.81,0,0,0,6.6,9,32,70.69999695,2.1
1.77,0,0,0,20.4,9,32,48.59999847,1.868
1.77,0,0,0,3.4,10,38,48.59999847,1.897
1.49,0,0,0,6.8,8,144,9.800000191,1.548
1.77,0,0,0,3.4,10,38,48.59999847,1.927
1.69,0,0,0,0,10,38,43,1.911
1.14,0,0,0,10.2,10,38,9,1.614
1.81,0,0,0,3.3,10,38,70.69999695,1.916
1.69,0,0,0,0,10,38,43,1.93
1.81,0,0,0,3.3,10,38,70.69999695,2.027
1.69,0,0,0,0,10,38,43,1.925
1.81,0,0,0,3.3,10,38,70.69999695,2.125
1.55,0,3.03,0,0,6,30,21.60000038,1.627
1.2,0,3.03,0,0,9,32,66.40000153,1.179
1.77,0,0,0,20.4,9,32,48.59999847,1.855
1.49,0,0,0,0,7,129,9.800000191,1.659
1.49,0,0,0,0,7,129,9.800000191,1.677
1.67,4,0,0,15,17,200,22.60000038,1.977
2.02,0,33.33,0,13.2,19,551,3,2.256
1.14,0,2.94,0,27.2,9,32,9,1.526
1.69,0,0,0,10.2,9,32,43,1.839
1.2,0,3.03,0,6.6,10,38,66.40000153,1.318
1.14,0,0,0,10.2,10,38,9,1.618
1.14,0,0,0,10.2,10,38,9,1.527
1.69,0,0,0,0,10,38,43,1.922
1.81,0,0,0,3.3,10,38,70.69999695,1.983
1.69,0,0,0,3.4,16,85,43,1.826
1.81,0,0,0,6.6,16,85,70.69999695,1.93
1.77,0,2.94,0,6.8,16,85,48.59999847,1.892
1.69,0,0,0,3.4,16,85,43,1.801
1.77,0,2.94,0,6.8,16,85,48.59999847,1.854
1.86,21.74,4.35,0,32.2,27,11,28.5,1.898
1.86,21.74,4.35,0,32.2,27,11,28.5,2.094
1.34,12,0,0,17.5,25,222,33.5,1.638
1.34,12,0,0,17.5,25,222,33.5,1.652
1.34,12,0,0,17.5,25,222,33.5,1.656
1.77,0,2.94,0,10.2,15,39,48.59999847,1.796
1.69,0,61.54,26.19999979,13,16,1128,4.699999809,1.936
1.55,0,3.03,0,6.6,5,45,21.60000038,1.594
1.49,0,0,0,9.9,5,45,9.800000191,1.565
1.55,0,3.03,0,6.6,5,45,21.60000038,1.603
0.94,0,2.86,15.89999962,3.5,5,45,17.10000038,1.025
1.69,0,0,44.89999924,0,17,943,4.699999809,4.367
0.94,0,2.86,15.89999962,3.5,5,45,17.10000038,1.05
0.84,0,0,0,0,5,45,16.20000076,0.876
1.55,0,3.03,0,6.6,5,45,21.60000038,1.61
1.69,0,0,44.89999924,0,17,943,4.699999809,4.586
1.69,0,0,44.89999924,0,17,943,4.699999809,4.697
1.69,0,0,44.89999924,0,17,943,4.699999809,3.707
1.24,0,2.94,0.5,13.6,6,64,56.59999847,1.669
1.4,0,8.82,0,0,6,64,61.79999924,1.586
1.29,2.94,0,0,6.8,8,16,12,1.599
1.29,2.94,0,0,6.8,8,16,12,1.477
1.34,12,0,0,17.5,25,222,33.5,1.621
1.14,0,0,0,40.8,15,39,9,1.487
1.14,0,0,0,40.8,15,39,9,1.5
1.14,0,0,0,40.8,15,39,9,1.509
1.69,0,0,0,3.4,15,39,43,1.838
1.69,0,0,0,3.4,15,39,43,1.837
1.77,0,2.94,0,10.2,15,39,48.59999847,1.818
1.2,0,5.88,0,27.2,13,120,32,1.718
0.84,0,0,0,6.8,13,120,16.20000076,0.9
0.84,0,0,0,6.8,13,120,16.20000076,0.919
0.94,0,13.89,15.5,7.2,13,120,17.10000038,1.152
