ST,BT,AD,JS,AP,AT,FI,SC,EM,DE,TS,CT,AG,TL
210.82,157.48,4513,4482.352941,113.6,22.9,0,49.27455147,30051.39062,2300.784772,3.394979824,8.48E-06,18,19.22572191
210.82,157.48,4417,4482.352941,102.8,23.7,0,49.27455147,30051.39062,2300.784772,3.394979824,8.48E-06,19,19.09448844
210.82,157.48,4436,4482.352941,245.9,23.3,0,49.27455147,30051.39062,2300.784772,3.394979824,8.48E-06,21,20.47244082
210.82,157.48,4698,4482.352941,190.6,23.3,0,49.27455147,30051.39062,2300.784772,3.394979824,8.48E-06,22,19.94750662
210.82,157.48,6166,4482.352941,193.9,23.6,0,49.27455147,30051.39062,2300.784772,3.394979824,8.48E-06,23,23.16272978
274.32,157.48,9353,4482.352941,157.6,22.5,0,30.854051,35289.85345,2280.494706,3.108387633,8.48E-06,8,2.427821554
274.32,157.48,10234,4482.352941,94.7,22.2,0,30.854051,35289.85345,2280.494706,3.108387633,8.48E-06,9,3.543307149
274.32,157.48,4304,4482.352941,226.7,23,0,30.854051,35289.85345,2280.494706,3.108387633,8.48E-06,10,5.51181093
274.32,157.48,4391,4482.352941,228.8,23.1,0,30.854051,35289.85345,2280.494706,3.108387633,8.48E-06,11,7.086614298
274.32,157.48,4574,4482.352941,229.9,23.2,0,30.854051,35289.85345,2280.494706,3.108387633,8.48E-06,15,22.1784775
274.32,157.48,4371,4482.352941,251.7,23.1,0,30.854051,35289.85345,2280.494706,3.108387633,8.48E-06,17,22.57217854
274.32,157.48,4513,4482.352941,113.6,22.9,0,30.854051,35289.85345,2280.494706,3.108387633,8.48E-06,18,28.67454009
274.32,157.48,4417,4482.352941,102.8,23.7,0,30.854051,35289.85345,2280.494706,3.108387633,8.48E-06,19,32.21784661
274.32,157.48,4436,4482.352941,245.9,23.3,0,30.854051,35289.85345,2280.494706,3.108387633,8.48E-06,21,33.72703434
274.32,157.48,4698,4482.352941,190.6,23.3,0,30.854051,35289.85345,2280.494706,3.108387633,8.48E-06,22,35.69553843
274.32,157.48,6166,4482.352941,193.9,23.6,0,30.854051,35289.85345,2280.494706,3.108387633,8.48E-06,23,42.58530221
284.48,157.48,2800,4482.352941,151.1,23.1,0,49.7456934,19073.87091,2236.283779,4.1540929,8.48E-06,4,0.984251969
284.48,157.48,10234,4482.352941,94.7,22.2,0,49.7456934,19073.87091,2236.283779,4.1540929,8.48E-06,9,0.918635155
284.48,157.48,4304,4482.352941,226.7,23,0,49.7456934,19073.87091,2236.283779,4.1540929,8.48E-06,10,0.656167979
284.48,157.48,6166,4482.352941,193.9,23.6,0,49.7456934,19073.87091,2236.283779,4.1540929,8.48E-06,23,0.656167979
205.74,106.68,4698,4618.181818,190.6,23.3,0,37.3695992,33655.92633,2287.436138,3.665714067,8.48E-06,22,0.262467196
205.74,106.68,6166,4618.181818,193.9,23.6,0,37.3695992,33655.92633,2287.436138,3.665714067,8.48E-06,23,0.262467196
218.44,99.06,4371,4482.352941,251.7,23.1,0,48.090951,28548.82247,2341.898802,4.0851453,8.48E-06,17,0.853018341
218.44,99.06,4417,4482.352941,102.8,23.7,0,48.090951,28548.82247,2341.898802,4.0851453,8.48E-06,19,4.855643107
218.44,99.06,4436,4482.352941,245.9,23.3,0,48.090951,28548.82247,2341.898802,4.0851453,8.48E-06,21,8.398950256
218.44,99.06,4698,4482.352941,190.6,23.3,0,48.090951,28548.82247,2341.898802,4.0851453,8.48E-06,22,14.23884564
218.44,99.06,6166,4482.352941,193.9,23.6,0,48.090951,28548.82247,2341.898802,4.0851453,8.48E-06,23,15.35433124
205.74,154.94,4436,4118.918919,245.9,23.3,0,31.198789,34705.09162,2277.825044,3.131370167,8.48E-06,21,1.115485596
205.74,154.94,6166,4118.918919,193.9,23.6,0,31.198789,34705.09162,2277.825044,3.131370167,8.48E-06,23,1.246719144
208.28,111.76,4574,4118.918919,229.9,23.2,0,27.34921467,35794.3913,2284.232412,3.493345067,8.48E-06,15,1.640419948
208.28,111.76,4371,4118.918919,251.7,23.1,0,27.34921467,35794.3913,2284.232412,3.493345067,8.48E-06,17,1.640419948
208.28,111.76,4417,4118.918919,102.8,23.7,0,27.34921467,35794.3913,2284.232412,3.493345067,8.48E-06,19,3.280839895
208.28,111.76,4436,4118.918919,245.9,23.3,0,27.34921467,35794.3913,2284.232412,3.493345067,8.48E-06,21,3.280839895
208.28,111.76,4698,4118.918919,190.6,23.3,0,27.34921467,35794.3913,2284.232412,3.493345067,8.48E-06,22,3.280839895
218.44,99.06,4513,4482.352941,113.6,22.9,0,48.090951,28548.82247,2341.898802,4.0851453,8.48E-06,18,3.083989376
208.28,111.76,4513,4118.918919,113.6,22.9,0,27.34921467,35794.3913,2284.232412,3.493345067,8.48E-06,18,1.640419948
205.74,154.94,4698,4118.918919,190.6,23.3,0,31.198789,34705.09162,2277.825044,3.131370167,8.48E-06,22,1.246719144
208.28,111.76,6166,4118.918919,193.9,23.6,0,27.34921467,35794.3913,2284.232412,3.493345067,8.48E-06,23,4.658792588
292.1,96.52,6166,4118.918919,193.9,23.6,0,34.9219594,36843.17508,2324.27848,3.269265367,8.48E-06,23,0.787401606
210.82,86.36,2340,4618.181818,291.9,7.9,247,38.39002368,28548.82247,2267.252828,4.38506736,0.00000896,35,0.984251969
187.96,152.4,4331,4618.181818,1265.8,16.3,23,42.59812553,28548.82247,2267.252828,3.601362973,0.00000915,7,3.083989533
187.96,152.4,4691,4618.181818,1173.6,16.4,24,42.59812553,28548.82247,2267.252828,3.601362973,0.00000915,8,4.330708599
187.96,152.4,4328,4618.181818,1565,16.6,31,42.59812553,28548.82247,2267.252828,3.601362973,0.00000915,9,10.17060367
187.96,152.4,5443,4618.181818,1425.8,17,20,42.59812553,28548.82247,2267.252828,3.601362973,0.00000915,12,17.38845207
213.36,254,5135,4482.352941,1262.6,18.5,10,74.59900497,28548.82247,2267.252828,4.07135578,0.00000988,17,2.427821554
213.36,254,5170,4482.352941,1378.3,16,11,74.59900497,28548.82247,2267.252828,4.07135578,0.00000988,18,2.427821554
210.82,160.02,4644,4618.181818,1397.5,16.6,31,39.22084226,30878.67515,2250.822479,3.90243416,8.48E-06,6,3.018372836
210.82,160.02,4331,4618.181818,1265.8,16.3,23,39.22084226,30878.67515,2250.822479,3.90243416,8.48E-06,7,3.149606424
