ST,BT,BL,AD,JS,AP,AT,FI,CS,EM,DE,MR,TS,CT,AG,LC
274.32,157.48,1,4436,4482.352941,245.8999939,23.29999924,0,30.854051,35289.85345,2.280500401,4.734401867,3.108387633,8.38E-06,21,4.330708599
274.32,157.48,1,4698,4482.352941,190.6000061,23.29999924,0,30.854051,35289.85345,2.280500401,4.734401867,3.108387633,8.38E-06,22,5.708661292
274.32,157.48,1,6166,4482.352941,193.8999939,23.60000038,0,30.854051,35289.85345,2.280500401,4.734401867,3.108387633,8.38E-06,23,8.595800775
284.48,157.48,1,4574,4482.352941,229.8999939,23.20000076,0,49.7456934,19073.87091,2.236289363,6.032915,4.1540929,8.38E-06,15,2.952755906
284.48,157.48,1,4371,4482.352941,251.6999969,23.10000038,0,49.7456934,19073.87091,2.236289363,6.032915,4.1540929,8.38E-06,17,2.952755906
284.48,157.48,1,4513,4482.352941,113.5999985,22.89999962,0,49.7456934,19073.87091,2.236289363,6.032915,4.1540929,8.38E-06,18,2.952755906
284.48,157.48,1,4417,4482.352941,102.8000031,23.70000076,0,49.7456934,19073.87091,2.236289363,6.032915,4.1540929,8.38E-06,19,2.952755906
284.48,157.48,1,4436,4482.352941,245.8999939,23.29999924,0,49.7456934,19073.87091,2.236289363,6.032915,4.1540929,8.38E-06,21,15.15748057
284.48,157.48,1,4698,4482.352941,190.6000061,23.29999924,0,49.7456934,19073.87091,2.236289363,6.032915,4.1540929,8.38E-06,22,72.17847519
284.48,157.48,1,6166,4482.352941,193.8999939,23.60000038,0,49.7456934,19073.87091,2.236289363,6.032915,4.1540929,8.38E-06,23,107.3490816
205.74,106.68,1,2800,4618.181818,151.1000061,23.10000038,0,37.3695992,33655.92633,2.28744185,5.20611787,3.665714067,8.38E-06,4,5.24934391
205.74,106.68,1,7674,4618.181818,152.1999969,22.10000038,0,37.3695992,33655.92633,2.28744185,5.20611787,3.665714067,8.38E-06,6,2.165354299
205.74,106.68,1,8472,4618.181818,212.8000031,22.70000076,0,37.3695992,33655.92633,2.28744185,5.20611787,3.665714067,8.38E-06,7,2.165354299
205.74,106.68,1,9353,4618.181818,157.6000061,22.5,0,37.3695992,33655.92633,2.28744185,5.20611787,3.665714067,8.38E-06,8,4.790026372
205.74,106.68,1,10234,4618.181818,94.69999695,22.20000076,0,37.3695992,33655.92633,2.28744185,5.20611787,3.665714067,8.38E-06,9,4.133858158
205.74,106.68,1,4304,4618.181818,226.6999969,23,0,37.3695992,33655.92633,2.28744185,5.20611787,3.665714067,8.38E-06,10,5.380577459
205.74,106.68,1,4391,4618.181818,228.8000031,23.10000038,0,37.3695992,33655.92633,2.28744185,5.20611787,3.665714067,8.38E-06,11,4.724409324
205.74,106.68,1,4574,4618.181818,229.8999939,23.20000076,0,37.3695992,33655.92633,2.28744185,5.20611787,3.665714067,8.38E-06,15,4.986876578
205.74,106.68,1,4371,4618.181818,251.6999969,23.10000038,0,37.3695992,33655.92633,2.28744185,5.20611787,3.665714067,8.38E-06,17,5.18372694
205.74,106.68,1,4513,4618.181818,113.5999985,22.89999962,0,37.3695992,33655.92633,2.28744185,5.20611787,3.665714067,8.38E-06,18,11.54855668
205.74,106.68,1,4417,4618.181818,102.8000031,23.70000076,0,37.3695992,33655.92633,2.28744185,5.20611787,3.665714067,8.38E-06,19,9.514435539
205.74,106.68,1,4436,4618.181818,245.8999939,23.29999924,0,37.3695992,33655.92633,2.28744185,5.20611787,3.665714067,8.38E-06,21,10.43307109
205.74,106.68,1,4698,4618.181818,190.6000061,23.29999924,0,37.3695992,33655.92633,2.28744185,5.20611787,3.665714067,8.38E-06,22,15.28871388
205.74,106.68,1,6166,4618.181818,193.8999939,23.60000038,0,37.3695992,33655.92633,2.28744185,5.20611787,3.665714067,8.38E-06,23,15.68241492
218.44,99.06,1,2800,4482.352941,151.1000061,23.10000038,0,48.090951,30301.24321,2.34190465,6.848794933,4.0851453,8.38E-06,4,1.181102331
218.44,99.06,1,8472,4482.352941,212.8000031,22.70000076,0,48.090951,30301.24321,2.34190465,6.848794933,4.0851453,8.38E-06,7,2.165354299
218.44,99.06,1,9353,4482.352941,157.6000061,22.5,0,48.090951,30301.24321,2.34190465,6.848794933,4.0851453,8.38E-06,8,2.165354299
218.44,99.06,1,10234,4482.352941,94.69999695,22.20000076,0,48.090951,30301.24321,2.34190465,6.848794933,4.0851453,8.38E-06,9,2.034120672
218.44,99.06,1,4304,4482.352941,226.6999969,23,0,48.090951,30301.24321,2.34190465,6.848794933,4.0851453,8.38E-06,10,1.640419948
218.44,99.06,1,4391,4482.352941,228.8000031,23.10000038,0,48.090951,30301.24321,2.34190465,6.848794933,4.0851453,8.38E-06,11,1.902887123
218.44,99.06,1,4574,4482.352941,229.8999939,23.20000076,0,48.090951,30301.24321,2.34190465,6.848794933,4.0851453,8.38E-06,15,2.821522239
218.44,99.06,1,4371,4482.352941,251.6999969,23.10000038,0,48.090951,30301.24321,2.34190465,6.848794933,4.0851453,8.38E-06,17,2.755905543
218.44,99.06,1,4417,4482.352941,102.8000031,23.70000076,0,48.090951,30301.24321,2.34190465,6.848794933,4.0851453,8.38E-06,19,7.48031471
218.44,99.06,1,4436,4482.352941,245.8999939,23.29999924,0,48.090951,30301.24321,2.34190465,6.848794933,4.0851453,8.38E-06,21,18.7007874
218.44,99.06,1,4698,4482.352941,190.6000061,23.29999924,0,48.090951,30301.24321,2.34190465,6.848794933,4.0851453,8.38E-06,22,45.53805874
218.44,99.06,1,6166,4482.352941,193.8999939,23.60000038,0,48.090951,30301.24321,2.34190465,6.848794933,4.0851453,8.38E-06,23,48.88451647
281.94,104.14,1,8472,4482.352941,212.8000031,22.70000076,0,48.3322676,34176.18079,2.294383133,5.849054733,4.3436988,8.38E-06,7,0.656167979
281.94,104.14,1,10234,4482.352941,94.69999695,22.20000076,0,48.3322676,34176.18079,2.294383133,5.849054733,4.3436988,8.38E-06,9,0.32808399
281.94,104.14,1,4304,4482.352941,226.6999969,23,0,48.3322676,34176.18079,2.294383133,5.849054733,4.3436988,8.38E-06,10,1.049868782
281.94,104.14,1,4391,4482.352941,228.8000031,23.10000038,0,48.3322676,34176.18079,2.294383133,5.849054733,4.3436988,8.38E-06,11,0.393700803
281.94,104.14,1,4574,4482.352941,229.8999939,23.20000076,0,48.3322676,34176.18079,2.294383133,5.849054733,4.3436988,8.38E-06,15,1.902887202
281.94,104.14,1,4371,4482.352941,251.6999969,23.10000038,0,48.3322676,34176.18079,2.294383133,5.849054733,4.3436988,8.38E-06,17,2.034120672
281.94,104.14,1,4417,4482.352941,102.8000031,23.70000076,0,48.3322676,34176.18079,2.294383133,5.849054733,4.3436988,8.38E-06,19,2.165354299
281.94,104.14,1,4436,4482.352941,245.8999939,23.29999924,0,48.3322676,34176.18079,2.294383133,5.849054733,4.3436988,8.38E-06,21,4.658792588
281.94,104.14,1,4698,4482.352941,190.6000061,23.29999924,0,48.3322676,34176.18079,2.294383133,5.849054733,4.3436988,8.38E-06,22,6.758530309
281.94,104.14,1,6166,4482.352941,193.8999939,23.60000038,0,48.3322676,34176.18079,2.294383133,5.849054733,4.3436988,8.38E-06,23,11.28608935
205.74,154.94,0,4391,4118.918919,228.8000031,23.10000038,0,31.198789,34705.09162,2.277830732,4.814840733,3.131370167,8.38E-06,11,2.755905387
205.74,154.94,0,4574,4118.918919,229.8999939,23.20000076,0,31.198789,34705.09162,2.277830732,4.814840733,3.131370167,8.38E-06,15,13.38582652
205.74,154.94,0,4371,4118.918919,251.6999969,23.10000038,0,31.198789,34705.09162,2.277830732,4.814840733,3.131370167,8.38E-06,17,22.44094413
205.74,154.94,0,4513,4118.918919,113.5999985,22.89999962,0,31.198789,34705.09162,2.277830732,4.814840733,3.131370167,8.38E-06,18,23.03149655
205.74,154.94,0,4417,4118.918919,102.8000031,23.70000076,0,31.198789,34705.09162,2.277830732,4.814840733,3.131370167,8.38E-06,19,23.3595803
205.74,154.94,0,4436,4118.918919,245.8999939,23.29999924,0,31.198789,34705.09162,2.277830732,4.814840733,3.131370167,8.38E-06,21,27.69028921
205.74,154.94,0,6166,4118.918919,193.8999939,23.60000038,0,31.198789,34705.09162,2.277830732,4.814840733,3.131370167,8.38E-06,23,28.80577387
208.28,111.76,1,2800,4118.918919,151.1000061,23.10000038,0,27.34921467,35794.3913,2.284238116,5.20611787,3.493345067,8.38E-06,4,0.196850402
208.28,111.76,1,9353,4118.918919,157.6000061,22.5,0,27.34921467,35794.3913,2.284238116,5.20611787,3.493345067,8.38E-06,8,0.393700803
208.28,111.76,1,4391,4118.918919,228.8000031,23.10000038,0,27.34921467,35794.3913,2.284238116,5.20611787,3.493345067,8.38E-06,11,0.393700803
208.28,111.76,1,4574,4118.918919,229.8999939,23.20000076,0,27.34921467,35794.3913,2.284238116,5.20611787,3.493345067,8.38E-06,15,6.036745282
208.28,111.76,1,4371,4118.918919,251.6999969,23.10000038,0,27.34921467,35794.3913,2.284238116,5.20611787,3.493345067,8.38E-06,17,8.923884765
208.28,111.76,1,4417,4118.918919,102.8000031,23.70000076,0,27.34921467,35794.3913,2.284238116,5.20611787,3.493345067,8.38E-06,19,14.43569491
208.28,111.76,1,4436,4118.918919,245.8999939,23.29999924,0,27.34921467,35794.3913,2.284238116,5.20611787,3.493345067,8.38E-06,21,15.48556487
208.28,111.76,1,4698,4118.918919,190.6000061,23.29999924,0,27.34921467,35794.3913,2.284238116,5.20611787,3.493345067,8.38E-06,22,20.73490776
218.44,99.06,1,4513,4482.352941,113.5999985,22.89999962,0,48.090951,30301.24321,2.34190465,6.848794933,4.0851453,8.38E-06,18,3.412073366
281.94,104.14,1,4513,4482.352941,113.5999985,22.89999962,0,48.3322676,34176.18079,2.294383133,5.849054733,4.3436988,8.38E-06,18,2.034120672
208.28,111.76,1,4513,4118.918919,113.5999985,22.89999962,0,27.34921467,35794.3913,2.284238116,5.20611787,3.493345067,8.38E-06,18,9.383202225
205.74,154.94,0,4698,4118.918919,190.6000061,23.29999924,0,31.198789,34705.09162,2.277830732,4.814840733,3.131370167,8.38E-06,22,27.82152269
208.28,111.76,1,6166,4118.918919,193.8999939,23.60000038,0,27.34921467,35794.3913,2.284238116,5.20611787,3.493345067,8.38E-06,23,21.52230984
312.42,99.06,1,4513,4618.181818,113.5999985,22.89999962,0,29.27974747,34997.80176,2.28263625,5.20611787,3.470362533,8.38E-06,18,0.459317577
312.42,99.06,1,4417,4618.181818,102.8000031,23.70000076,0,29.27974747,34997.80176,2.28263625,5.20611787,3.470362533,8.38E-06,19,0.459317577
312.42,99.06,1,4436,4618.181818,245.8999939,23.29999924,0,29.27974747,34997.80176,2.28263625,5.20611787,3.470362533,8.38E-06,21,0.459317577
312.42,99.06,1,4698,4618.181818,190.6000061,23.29999924,0,29.27974747,34997.80176,2.28263625,5.20611787,3.470362533,8.38E-06,22,1.115485596
312.42,99.06,1,6166,4618.181818,193.8999939,23.60000038,0,29.27974747,34997.80176,2.28263625,5.20611787,3.470362533,8.38E-06,23,2.821522435
215.9,96.52,1,4513,4482.352941,113.5999985,22.89999962,0,31.24475407,33457.06422,2.281034384,4.401155133,3.162396587,8.38E-06,18,0.196850402
215.9,96.52,1,4417,4482.352941,102.8000031,23.70000076,0,31.24475407,33457.06422,2.281034384,4.401155133,3.162396587,8.38E-06,19,0.196850402
215.9,96.52,1,4436,4482.352941,245.8999939,23.29999924,0,31.24475407,33457.06422,2.281034384,4.401155133,3.162396587,8.38E-06,21,0.196850402
210.82,86.36,1,2340,4618.181818,291.8999939,7.900000095,247,38.88141323,30301.24321,2.268700155,5.20611787,4.38506736,0.00000896,35,0.721784793
215.9,96.52,1,6166,4482.352941,193.8999939,23.60000038,0,31.24475407,33457.06422,2.281034384,4.401155133,3.162396587,8.38E-06,23,0.196850402
215.9,96.52,1,4698,4482.352941,190.6000061,23.29999924,0,31.24475407,33457.06422,2.281034384,4.401155133,3.162396587,8.38E-06,22,0.196850402
187.96,152.4,0,4589,4618.181818,1072.199951,16.5,62,42.59812553,30301.24321,2.268700155,3.601362973,3.601362973,0.00000915,5,34.71128484
187.96,152.4,0,4331,4618.181818,1265.800049,16.29999924,23,42.59812553,30301.24321,2.268700155,3.601362973,3.601362973,0.00000915,7,96.58792638
