ST,BT,AD,JS,AP,AT,FI,CS,EM,DE,TS,CT,AG,SP
208.28,111.76,4513,4118.918919,113.5999985,22.89999962,0,27.34921467,35794.3913,2.284232893,3.493345067,8.40E-06,18,1
205.74,154.94,4698,4118.918919,190.6000061,23.29999924,0,31.198789,34705.09162,2.277825523,3.131370167,8.40E-06,22,2.600000024
208.28,111.76,8472,4118.918919,212.8000031,22.70000076,0,27.34921467,35794.3913,2.284232893,3.493345067,8.40E-06,7,0.300000012
208.28,111.76,6166,4118.918919,193.8999939,23.60000038,0,27.34921467,35794.3913,2.284232893,3.493345067,8.40E-06,23,0.899999976
292.1,96.52,2800,4118.918919,151.1000061,23.10000038,0,34.9219594,36843.17508,2.324278969,3.269265367,8.40E-06,4,0.5
292.1,96.52,4513,4118.918919,113.5999985,22.89999962,0,34.9219594,36843.17508,2.324278969,3.269265367,8.40E-06,18,0.400000006
292.1,96.52,4417,4118.918919,102.8000031,23.70000076,0,34.9219594,36843.17508,2.324278969,3.269265367,8.40E-06,19,0.400000006
292.1,96.52,4436,4118.918919,245.8999939,23.29999924,0,34.9219594,36843.17508,2.324278969,3.269265367,8.40E-06,21,0.5
292.1,96.52,4698,4118.918919,190.6000061,23.29999924,0,34.9219594,36843.17508,2.324278969,3.269265367,8.40E-06,22,1.799999952
274.32,172.72,2746,4118.918919,183.1000061,22.79999924,0,32.7845838,29647.468,2.297581531,3.004966233,8.40E-06,2,0.200000003
274.32,172.72,2800,4118.918919,151.1000061,23.10000038,0,32.7845838,29647.468,2.297581531,3.004966233,8.40E-06,4,0.200000003
274.32,172.72,4371,4118.918919,251.6999969,23.10000038,0,32.7845838,29647.468,2.297581531,3.004966233,8.40E-06,17,0.400000006
274.32,172.72,4417,4118.918919,102.8000031,23.70000076,0,32.7845838,29647.468,2.297581531,3.004966233,8.40E-06,19,0.699999988
274.32,172.72,4436,4118.918919,245.8999939,23.29999924,0,32.7845838,29647.468,2.297581531,3.004966233,8.40E-06,21,0.699999988
274.32,172.72,4698,4118.918919,190.6000061,23.29999924,0,32.7845838,29647.468,2.297581531,3.004966233,8.40E-06,22,0.699999988
274.32,172.72,6166,4118.918919,193.8999939,23.60000038,0,32.7845838,29647.468,2.297581531,3.004966233,8.40E-06,23,0.699999988
312.42,99.06,2800,4618.181818,151.1000061,23.10000038,0,29.27974747,34997.80176,2.28263103,3.470362533,8.40E-06,4,0.400000006
312.42,99.06,7674,4618.181818,152.1999969,22.10000038,0,29.27974747,34997.80176,2.28263103,3.470362533,8.40E-06,6,0.699999988
312.42,99.06,9353,4618.181818,157.6000061,22.5,0,29.27974747,34997.80176,2.28263103,3.470362533,8.40E-06,8,3
312.42,99.06,4391,4618.181818,228.8000031,23.10000038,0,29.27974747,34997.80176,2.28263103,3.470362533,8.40E-06,11,2.600000024
312.42,99.06,4574,4618.181818,229.8999939,23.20000076,0,29.27974747,34997.80176,2.28263103,3.470362533,8.40E-06,15,2.200000048
312.42,99.06,4371,4618.181818,251.6999969,23.10000038,0,29.27974747,34997.80176,2.28263103,3.470362533,8.40E-06,17,2.399999976
312.42,99.06,4513,4618.181818,113.5999985,22.89999962,0,29.27974747,34997.80176,2.28263103,3.470362533,8.40E-06,18,1.899999976
312.42,99.06,4417,4618.181818,102.8000031,23.70000076,0,29.27974747,34997.80176,2.28263103,3.470362533,8.40E-06,19,1.899999976
312.42,99.06,4436,4618.181818,245.8999939,23.29999924,0,29.27974747,34997.80176,2.28263103,3.470362533,8.40E-06,21,4.599999905
287.02,99.06,2800,4618.181818,151.1000061,23.10000038,0,32.45133707,33526.94261,2.281029168,3.3094848,8.40E-06,4,0.400000006
287.02,99.06,4436,4618.181818,245.8999939,23.29999924,0,32.45133707,33526.94261,2.281029168,3.3094848,8.40E-06,21,1.5
287.02,99.06,4698,4618.181818,190.6000061,23.29999924,0,32.45133707,33526.94261,2.281029168,3.3094848,8.40E-06,22,1.399999976
215.9,96.52,2800,4482.352941,151.1000061,23.10000038,0,31.24475407,33457.06422,2.281029168,3.162396587,8.40E-06,4,0.400000006
215.9,96.52,4391,4482.352941,228.8000031,23.10000038,0,31.24475407,33457.06422,2.281029168,3.162396587,8.40E-06,11,0.400000006
215.9,96.52,4574,4482.352941,229.8999939,23.20000076,0,31.24475407,33457.06422,2.281029168,3.162396587,8.40E-06,15,0.400000006
215.9,96.52,4436,4482.352941,245.8999939,23.29999924,0,31.24475407,33457.06422,2.281029168,3.162396587,8.40E-06,21,0.5
246.38,132.08,1600,4618.181818,167.5,22.89999962,0,38.3003918,30681.682,2.28263103,4.09893482,0.0000092,13,0.300000012
287.02,99.06,6166,4618.181818,193.8999939,23.60000038,0,32.45133707,33526.94261,2.281029168,3.3094848,8.40E-06,23,1.399999976
215.9,96.52,6166,4482.352941,193.8999939,23.60000038,0,31.24475407,33457.06422,2.281029168,3.162396587,8.40E-06,23,0.5
215.9,96.52,4698,4482.352941,190.6000061,23.29999924,0,31.24475407,33457.06422,2.281029168,3.162396587,8.40E-06,22,0.5
187.96,152.4,5443,4618.181818,1425.800049,17,20,42.59812553,30294.14133,2.28263103,3.601362973,0.00000915,12,8.399999857
213.36,254,4691,4482.352941,1173.599976,16.39999962,24,74.59900497,30294.14133,2.28263103,4.07135578,0.00000988,8,0.400000006
213.36,254,4328,4482.352941,1565,16.60000038,31,74.59900497,30294.14133,2.28263103,4.07135578,0.00000988,9,0.400000006
279.4,152.4,3477,4618.181818,1446.199951,16.39999962,70,71.03211575,30294.14133,2.28263103,3.69903874,8.40E-06,1,0.200000003
213.36,254,5031,4482.352941,993.5,17.20000076,56,74.59900497,30294.14133,2.28263103,4.07135578,0.00000988,15,2.900000095
292.1,152.4,5135,4482.352941,1262.599976,18.5,10,43.95237131,26200.088,2.277825442,3.83003918,0.000009,17,2.200000048
292.1,152.4,5170,4482.352941,1378.300049,16,11,43.95237131,26200.088,2.277825442,3.83003918,0.000009,18,2.700000107
210.82,160.02,3477,4618.181818,1446.199951,16.39999962,70,39.22084226,30878.67515,2.250822953,3.90243416,8.40E-06,1,0.200000003
210.82,160.02,4331,4618.181818,1265.800049,16.29999924,23,39.22084226,30878.67515,2.250822953,3.90243416,8.40E-06,7,0.5
208.28,162.56,4589,4618.181818,1072.199951,16.5,62,67.56213629,27027.4592,2.253477408,5.937767312,8.40E-06,5,0.400000006
208.28,162.56,4644,4618.181818,1397.5,16.60000038,31,67.56213629,27027.4592,2.253477408,5.937767312,8.40E-06,6,0.300000012
281.94,154.94,3477,4618.181818,1446.199951,16.39999962,70,37.70897461,22407.97,2.24739046,5.08833288,9.53E-06,1,0.300000012
281.94,154.94,5443,4618.181818,1425.800049,17,20,37.70897461,22407.97,2.24739046,5.08833288,9.53E-06,12,2.900000095
281.94,154.94,5062,4618.181818,1696.099976,16,24,37.70897461,22407.97,2.24739046,5.08833288,9.53E-06,13,2.900000095
281.94,154.94,5031,4618.181818,993.5,17.20000076,56,37.70897461,22407.97,2.24739046,5.08833288,9.53E-06,15,3
281.94,154.94,5135,4618.181818,1262.599976,18.5,10,37.70897461,22407.97,2.24739046,5.08833288,9.53E-06,17,3
281.94,154.94,5170,4618.181818,1378.300049,16,11,37.70897461,22407.97,2.24739046,5.08833288,9.53E-06,18,6.199999809
271.78,177.8,3477,4618.181818,1446.199951,16.39999962,70,55.00486311,23649.0268,2.229449713,4.04032936,0.0000098,1,2.099999905
271.78,177.8,4589,4618.181818,1072.199951,16.5,62,55.00486311,23649.0268,2.229449713,4.04032936,0.0000098,5,0.5
271.78,177.8,4644,4618.181818,1397.5,16.60000038,31,55.00486311,23649.0268,2.229449713,4.04032936,0.0000098,6,1
271.78,177.8,4331,4618.181818,1265.800049,16.29999924,23,55.00486311,23649.0268,2.229449713,4.04032936,0.0000098,7,1
271.78,177.8,4691,4618.181818,1173.599976,16.39999962,24,55.00486311,23649.0268,2.229449713,4.04032936,0.0000098,8,1
271.78,177.8,5062,4618.181818,1696.099976,16,24,55.00486311,23649.0268,2.229449713,4.04032936,0.0000098,13,1.600000024
271.78,177.8,5031,4618.181818,993.5,17.20000076,56,55.00486311,23649.0268,2.229449713,4.04032936,0.0000098,15,1.600000024
271.78,177.8,5135,4618.181818,1262.599976,18.5,10,55.00486311,23649.0268,2.229449713,4.04032936,0.0000098,17,1.799999952
210.82,83.82,3477,4482.352941,1446.199951,16.39999962,70,41.96150936,30294.14133,2.28263103,3.08195772,8.40E-06,1,0.200000003
210.82,279.4,3477,4618.181818,1446.199951,16.39999962,70,73.67223429,44667.75782,2.337360821,5.59854512,0.00000985,1,0.100000001
210.82,279.4,5062,4618.181818,1696.099976,16,24,73.67223429,44667.75782,2.337360821,5.59854512,0.00000985,13,0.5
210.82,279.4,5031,4618.181818,993.5,17.20000076,56,73.67223429,44667.75782,2.337360821,5.59854512,0.00000985,15,0.400000006
