ST,BT,AD,JS,AP,AT,FI,CS,EM,DE,MR,TS,CT,AG,PN,PL,FA
210.820,157.480,4371.000,4.482,251.700,23.100,0.000,1.037,632.160,2.301,0.133,0.071,8.36E-06,17.00,0.00,0.00,0.20
210.820,157.480,4436.000,4.482,245.900,23.300,0.000,1.037,632.160,2.301,0.133,0.071,8.36E-06,21.00,0.00,0.00,0.30
210.820,157.480,4698.000,4.482,190.600,23.300,0.000,1.037,632.160,2.301,0.133,0.071,8.36E-06,22.00,0.00,0.00,0.30
210.820,157.480,6166.000,4.482,193.900,23.600,0.000,1.037,632.160,2.301,0.133,0.071,8.36E-06,23.00,0.00,0.00,0.10
274.320,157.480,2746.000,4.482,183.100,22.800,0.000,0.649,742.356,2.280,0.100,0.065,8.36E-06,2.00,0.00,0.00,0.70
274.320,157.480,8472.000,4.482,212.800,22.700,0.000,0.649,742.356,2.280,0.100,0.065,8.36E-06,7.00,0.00,0.00,0.20
274.320,157.480,4391.000,4.482,228.800,23.100,0.000,0.649,742.356,2.280,0.100,0.065,8.36E-06,11.00,0.00,0.00,0.20
274.320,157.480,4574.000,4.482,229.900,23.200,0.000,0.649,742.356,2.280,0.100,0.065,8.36E-06,15.00,0.00,0.00,0.20
274.320,157.480,4436.000,4.482,245.900,23.300,0.000,0.649,742.356,2.280,0.100,0.065,8.36E-06,21.00,0.00,0.00,0.20
274.320,157.480,4698.000,4.482,190.600,23.300,0.000,0.649,742.356,2.280,0.100,0.065,8.36E-06,22.00,0.00,0.00,0.10
274.320,157.480,6166.000,4.482,193.900,23.600,0.000,0.649,742.356,2.280,0.100,0.065,8.36E-06,23.00,0.00,0.00,0.10
284.480,157.480,2746.000,4.482,183.100,22.800,0.000,1.046,401.237,2.236,0.127,0.087,8.36E-06,2.00,0.00,0.00,0.60
284.480,157.480,8472.000,4.482,212.800,22.700,0.000,1.046,401.237,2.236,0.127,0.087,8.36E-06,7.00,0.00,0.00,0.10
284.480,157.480,4391.000,4.482,228.800,23.100,0.000,1.046,401.237,2.236,0.127,0.087,8.36E-06,11.00,0.00,0.00,0.50
284.480,157.480,4574.000,4.482,229.900,23.200,0.000,1.046,401.237,2.236,0.127,0.087,8.36E-06,15.00,0.00,0.00,0.70
284.480,157.480,4417.000,4.482,102.800,23.700,0.000,1.046,401.237,2.236,0.127,0.087,8.36E-06,19.00,0.00,0.00,0.20
284.480,157.480,4436.000,4.482,245.900,23.300,0.000,1.046,401.237,2.236,0.127,0.087,8.36E-06,21.00,0.00,0.00,0.20
284.480,157.480,6166.000,4.482,193.900,23.600,0.000,1.046,401.237,2.236,0.127,0.087,8.36E-06,23.00,0.00,0.00,0.30
205.740,106.680,2746.000,4.618,183.100,22.800,0.000,0.786,707.985,2.287,0.114,0.077,8.36E-06,2.00,0.00,0.00,0.70
